#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
1024.MU002.C3.HA.4.179.flw.6.11.G1.L00,TRUE,1024,cropland biome,vineyard,flower,-75.45012,41.06272,Flowers
846.Fagna24102011Soil14A2,FALSE,846,cropland biome,agricultural soil,soil,11.342,43.984,Soil from maize field tilled by conventional deep ploughing (max depth 40cm)
2105.CP557,TRUE,2105,urban biome,park,soil,-73.96415,40.79064,CP557 soil sample from Central Park
10082.v08.st2.r3,TRUE,10082,cropland biome,vineyard,Soil,-122.41012,38.4714,"soil sample from vineyard alley, at vineyard 08 site 2"
990.KA3U.D.22,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840726,Block_3_Unfertilized_station_D_position_22 KA3U.D.22
353.Male1.D14.20.Fecal.Rep3b,FALSE,353,urban biome,human-associated habitat,feces,-105.27,40.01,Male1 day 14 20C Fecal Rep3
2105.CP31.r,TRUE,2105,urban biome,park,soil,-73.97981,40.76876,CP31 soil sample from Central Park
1521.IE2.s.6.1.sequences,FALSE,1521,forest biome,forest,soil,-73.75,41.8,soil sample IE2
1721.S6M,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample S6M
14989.soil.ctrl.CMU.16.10.2016.08.25.day20,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.ctrl.CMU.16.10.2016.08.25.day20
11116.L14.15.1196962,FALSE,11116,cropland biome,field,bulk soil,-84.555,42.733,sample A02C076
1056.Tol.mat.Cinci.3,TRUE,1056,terrestrial biome,animal-associated habitat,stool,-84.5,39.167,fecal sample from Southern three-banded armadillo
14989.soil.hip.SHSU.2016.076.2016.12.06.day15,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2016.076.2016.12.06.day15
11116.A26A064.1198133,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A30A070
2104.CP45,FALSE,2104,urban biome,park,soil,-73.97366,40.76762,soil
1530.NC.2004.B2.D3.5,FALSE,1530,permafrost biome,forest soil,soil,-146.592,65.367,Nome Creek Fire year 2004  B2 Depth 20-30cm
12201.soil.bare.M.1.microbiome20.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,soil
1674.McG.F110715Ly6R1,TRUE,1674,urban biome,garden soil,soil,-74.074,40.638,NYC green roofs soil in Staten Island
14871.NGS19.080,FALSE,14871,alpine tundra biome,proglacial,soil,12.63628454,47.12625132,Soil metagenome
11116.I25A085.1196092,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L29A118
