#SampleID,physical_specimen_remaining,qiita_study_id,env_biome,env_feature,sample_type,longitude,latitude,description
10141.D.skin.head.T2.2,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
10145.2nd.4C.SO,TRUE,10145,marine benthic biome,high tide zone,beach sand,-128.15,51.65,"2nd-4C sample swash, sand only"
10141.G.CTRL.soil.T1.1,TRUE,10141,temperate grassland biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
14989.soil.face.SHSU.2016.011.2016.04.22.day8,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.face.SHSU.2016.011.2016.04.22.day8
2104.CP106.r,FALSE,2104,urban biome,park,soil,-73.97066,40.77077,soil
1792.L19A094,TRUE,1792,cropland biome,plant-associated habitat,soil,-76.47994,42.48424,L19A094 from site CML69
1883.2011.324.Crump.Artic.LTREB.main.lane4.NoIndex,TRUE,1883,tundra biome,tundra,underground water,-149.587633,68.60853333,soil water
11116.I31A086.1194751,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L13A062
1024.RU006.C181.RH.2.146.rhizo.6.11.G1.L00,TRUE,1024,cropland biome,vineyard,rhizosphere,-72.49427,41.00936,Rhizosphere
11116.I01A068.1197136,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A18A076
10141.F.soil.T7.4,TRUE,10141,Temperate coniferous forest biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
11116.I16A089.1196999,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample A13A076
214.KR26,FALSE,214,temperate coniferous forest biome,forest soil,soil,-81.6734357,34.6281898,soil metagenome
1721.S1B,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample S1B
619.FL.3.56a.2,FALSE,619,subtropical coniferous forest biome,forest soil,soil,-81.99353439,29.68998591,soil core
11116.A17D103.1197812,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I25A104
2105.CP643.r,TRUE,2105,urban biome,park,soil,-73.95631,40.79646,CP643 soil sample from Central Park
714.soil1.0.1g.T0U5,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,untreated_soil.soil.0
11116.U533A62.1197761,FALSE,11116,cropland biome,plant-associated habitat,soil,-88.207,40.111,sample A28C064
11116.C29A64.1194106,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A10A076
10561.KP1.s.6.1.sequences,FALSE,10561,temperate grassland biome,grassland soil,soil,-96.6,39.1,soil KP1
1526.HCanyon10R2,TRUE,1526,Large river biome,dam,soil,-110.677,37.55,GlenCanyon_hc9r2
10360.YUN3428.1,TRUE,10360,desert biome,slope,soil,-68.35242,-24.34139,sample from Yungay transect
1289.KH10,TRUE,1289,cropland biome,field,soil,-97.39,31.078,soil metagenomeC1R4-E-I-5-B-MAR0-10cm_soil
14627.BMS1.R,TRUE,14627,Mangrove biome,organic matter fall,Soil,-67.17510499,18.02797434,soil
11116.A23D094.1195481,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A23D094
1642.MS00494,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere W1514 MS00494
1521.EB056.s.6.1.sequences,FALSE,1521,shrubland biome,grassland soil,soil,36.58,-3.34,soil sample EB056
1642.MS00486,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere W106 MS00486
11116.I21A069.1196205,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L09A104
14937.S00IE0129,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1113/1114 120
10180.F2I,FALSE,10180,cropland biome,agricultural soil,soil,-48.0969,-21.7442,F2I Soil sample
2382.SH004.C1.RH.2.608.root.9.12.lane7.NoIndex.L007.sequences,TRUE,2382,cropland biome,vineyard,roots,-72.52841,41.01489,Roots
10142.011.3.30.2013.Soil.RHip.SiteB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,011.3.30.2013.Soil.RHip.SiteB
11116.I25A075.1195699,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L29A093
619.HI.20.24a,FALSE,619,tropical broadleaf forest biome,forest soil,soil,-155.289,19.93042,soil core
755.SSFB.L1.D10.06.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.203,55.905,samples of sand from slow_sand filter water purification system
11116.L21A087.1198429,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L11A100
1034.CHD4,TRUE,1034,tundra biome,tundra,Soil,161.752,69.446,"soil metagenome,Bg2"
10145.7th.3B,TRUE,10145,marine benthic biome,high tide zone,beach sand,-128.15,51.64,7th-3B sample sloping bar
10793.5.29.Soil.1181636,FALSE,10793,marine benthic biome,reef,sponges,-78.58482,26.51255,Soil sample from Broward County sampling site
2105.CP713.r,TRUE,2105,urban biome,park,soil,-73.95767,40.793,CP713 soil sample from Central Park
1521.CT1.s.6.1.sequences,FALSE,1521,tundra biome,tundra,soil,-69.57,62.65,soil sample CT1
14989.soil.ctrl.UTK.K016.03.2016.05.26.day21,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.ctrl.UTK.K016.03.2016.05.26.day21
10143.004.5.3.2013.Soil.LKnee.SiteD,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.5.3.2013.Soil.LKnee.SiteD
14989.soil.hip.SHSU.2016.007.2016.04.15.day1,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.hip.SHSU.2016.007.2016.04.15.day1
11116.A03D118.1194928,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I02A077
1609.mass.20kg.15.3,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,mass.20kg.15.3
10156.T2.5,TRUE,10156,freshwater biome,freshwater wetland,wetland soil,70.5681,41.911117,wetland soil sample  T2.5
14989.soil.face.UTK.K016.03.2016.05.26.day21,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.face.UTK.K016.03.2016.05.26.day21
990.KA3F.C.02,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840718,Block_3_Fertilized_station_C_position_2 KA3F.C.02
10141.D.skin.head.T2.5,TRUE,10141,urban biome,animal-associated habitat,skin,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
10145.NB.1A,TRUE,10145,marine benthic biome,high tide zone,beach sand,-128.14,51.66,NB-1A sample high tide
1642.MS00567,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00567
14989.soil.hip.UTK.K016.03.2016.05.15.day10,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.hip.UTK.K016.03.2016.05.15.day10
1883.2011.356.Crump.Artic.LTREB.main.lane4.NoIndex,TRUE,1883,tundra biome,tundra,underground water,-149.587633,68.60853333,soil water
10143.016.5.3.2013.Soil.ctrl.ctrlA,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,016.5.3.2013.Soil.ctrl.ctrlA
11116.A12C079.1197115,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A12C079
1889.soil1.T4S5,TRUE,1889,urban biome,soil,soil,-105.27,40.01,sterile_soil.soil.4
14989.soil.hip.UTK.K016.10.2017.06.11.day18,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.10.2017.06.11.day18
10141.BLANKplate5.6,TRUE,10141,urban biome,research facility,control blank,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
14989.soil.hip.UTK.K016.11.2017.06.10.day17,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.11.2017.06.10.day17
11116.A14B067.1195329,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample C33A64
10141.D.CTRL.soil.T5.2,TRUE,10141,temperate desert biome,desert sand,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
11116.C22A65.1198102,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample I30A093
1521.EB072.s.6.1.sequences,FALSE,1521,shrubland biome,grassland soil,soil,36.12,-6.89,soil sample EB072
1618.AL.Exp.S5bD28,FALSE,1618,temperate mixed forest biome,forest soil,soil,-79.1844,38.5098,Lab Soil
11116.A32C064.1197481,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A02D070
1889.soil1.T6U4,TRUE,1889,urban biome,soil,soil,-105.27,40.01,untreated_soil.soil.6
1024.HE003.C181.HA.2.357.rhizo.9.11.G1.L00,TRUE,1024,cropland biome,vineyard,rhizosphere,-72.53075,41.01039,Rhizosphere
11116.A25C088.1194630,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L22A097
1642.MS00389,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere Nipponbare MS00389
14989.soil.ctrlCMU.16.15.2016.12.day2,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.ctrlCMU.16.15.2016.12.day2
10561.DF2.s.6.1.sequences,FALSE,10561,temperate broadleaf forest biome,forest soil,soil,-79.08333333,35.96666667,soil DF2
11116.A31A094.1194403,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I24A105
14989.soil.ctrl.UTK.K016.07.2017.Jan.06.day1,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.ctrl.UTK.K016.07.2017.Jan.06.day1
11116.L07A069.1194873,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I01A102
1521.EB085.s.6.1.sequences,FALSE,1521,shrubland biome,grassland soil,soil,36.16,-6.91,soil sample EB085
14989.soil.face.CMU.17.12.2017.10.26.day17,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.17.12.2017.10.26.day17
11116.A05A070.1196495,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample L07A103
11116.L02A092.1196280,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I17A087
11116.A18C073.1197606,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A27D088
1609.mass.20kg.5.2,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,mass.20kg.5.2
11116.L22A100.1194321,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A14B082
14989.soil.hip.UTK.K016.01.2016.04.15.day11,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.hip.UTK.K016.01.2016.04.15.day11
11116.A12C118.1196871,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A12C118
1642.MS00160,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil kasalath MS00160
11116.L25A086.1197721,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L21A120
10142.SoilControl.3.30.2013.Soil.ctrl.ctrlB,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,SoilControl.3.30.2013.Soil.ctrl.ctrlB
1521.NTP38.s.6.1.sequences,FALSE,1521,grassland biome,grassland soil,soil,-96.82,47.73,soil sample NTP38
928.NTP38,FALSE,928,grassland biome,grassland soil,soil,-96.8233,47.7317,soil sample NTP38
14937.S00IE0163,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1409/1410 60
2104.CP408,FALSE,2104,urban biome,park,soil,-73.96499,40.78172,soil
2105.CP104.r,TRUE,2105,urban biome,park,soil,-73.96908,40.77005,CP104 soil sample from Central Park
14989.soil.ctrl.UTK.K016.02.2016.04.27.day15,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.ctrl.UTK.K016.02.2016.04.27.day15
619.UT.15.54a,FALSE,619,temperate grassland biome,grassland,soil,-112.4557424,40.17620563,soil core
11116.C15A66.1195765,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample L09A098
1520.KP44,FALSE,1520,ENVO:terrestrial biome,ENVO:soil,Soil,0,0,Katie_s_pit_Soils
2105.CP420.r,TRUE,2105,urban biome,park,soil,-73.96699,40.78301,CP420 soil sample from Central Park
1642.MS00437,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere W1514 MS00437
11116.I13A099.1196018,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L24A097
14989.soil.face.UTK.K016.04.2016.10.06.day11,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.face.UTK.K016.04.2016.10.06.day11
2105.CP731,TRUE,2105,urban biome,park,soil,-73.95441,40.79138,CP731 soil sample from Central Park
721.CC1.6,FALSE,721,"temperate grasslands, savannas, and shrubland biome",grassland soil,soil,-94.5983468,46.7452804,"Cedar Creek Minnesota, grassland, pH 6.1"
2104.CP129.r,FALSE,2104,urban biome,park,soil,-73.97148,40.7725,soil
14937.S00IE0320,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 163/164 90
11116.A06C067.1193793,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I04A104
10218.D.soil.T0.4,FALSE,10218,urban biome,research facility,soil,-107.2,40.1,Well A7 D.soil.T0.4
1043.Tabonuco.26C.Start.T0.03,FALSE,1043,tropical moist broadleaf forest biome,tropical soil,Soil,-66.93,18.13,Tropical forest soil
10142.011.3.12.2013.Soil.LHip.SiteC,TRUE,10142,urban biome,research facility,soil,-95.55,30.71308,011.3.12.2013.Soil.LHip.SiteC
990.KA1F.D.23,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841521,Block_1_Fertilized_station_D_position_23 KA1F.D.23
2104.CP75,FALSE,2104,urban biome,park,soil,-73.97138,40.76866,soil
11116.L.wk20.29.1197139,FALSE,11116,cropland biome,field,bulk soil,-84.555,42.733,sample A31B073
755.SSFA.L1.D20.21.06.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.906,samples of sand from slow_sand filter water purification system
10141.BLANKplate6.20,TRUE,10141,urban biome,research facility,control blank,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
14989.soil.hip.UTK.K016.05.2016.09.27.day2,FALSE,14989,urban biome,research facility,soil,-83.939774,35.940959,11489.soil.hip.UTK.K016.05.2016.09.27.day2
1642.MS00254,TRUE,1642,cropland biome,alluvial paddy field soil,soil,138.937,35.117,Bulk soil Nipponbare MS00254
1037.SBS2.OM2C0.ORG,TRUE,1037,temperate grassland biome,luvisol,soil,-126.3,54.62,luvisol SBS2-OM2C0-ORG
12201.soil.rhizosphere.G.2.zymoMA.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,A horizon soil collected from benath a pine tree directly adjacent to its roots
2105.CP414,TRUE,2105,urban biome,park,soil,-73.96948,40.78307,CP414 soil sample from Central Park
11176.1x.091515.144.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 1x.091515.144.1
928.EB024,FALSE,928,polar biome,surface soil,soil,161.70162,-77.52685,soil sample EB024
14989.soil.ctrl.UTK.K016.03.2016.05.19.day14,FALSE,14989,dense settlement biome,research facility,soil,-83.939774,35.940959,11271.soil.ctrl.UTK.K016.03.2016.05.19.day14
992.SU.16,FALSE,992,grasslandl biome,soil,soil,31.43333,-23.11667,"south african soils, soil metagenome"
755.SSFA.L3.D1.12.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-3.204,55.905,samples of sand from slow_sand filter water purification system
755.LSSF.ETA.D45.22.07.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with dirty sand: water purification system
2105.CP552,TRUE,2105,urban biome,park,soil,-73.95789,40.78532,CP552 soil sample from Central Park
1721.R18T,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample R18T
14989.soil.face.CMU.16.04.2016.mo.day5,FALSE,14989,dense settlement biome,research facility,soil,-108.55,39.08,11271.soil.face.CMU.16.04.2016.mo.day5
1030.TVF.2010.Loc2.D10.Rep3,TRUE,1030,forest biome,forest soil,soil,-145.69,64.33,Tanana Valley Forest Fire year 2010 Mineral layer Location02 Replicate03
1792.U463A63,TRUE,1792,cropland biome,plant-associated habitat,soil,40.11059,-88.20727,U463A63 from site CML333
14989.soil.hip.SHSU.2017.045.2017.12.21.day10,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2017.045.2017.12.21.day10
14989.soil.ctrlCMU.17.01.2017.01.day12,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.ctrlCMU.17.01.2017.01.day12
1792.LBS4,TRUE,1792,cropland biome,plant-associated habitat,soil,-76.47994,42.48424,LBS4 from site Bulk Soil
2104.CP631.r,FALSE,2104,urban biome,park,soil,-73.95881,40.79903,soil
2105.CP111.r,TRUE,2105,urban biome,park,soil,-73.97342,40.77197,CP111 soil sample from Central Park
2104.CP243.r,FALSE,2104,urban biome,park,soil,-73.96555,40.77711,soil
11116.A14D118.1196661,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample U511A62
14937.S00IE0283,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 129/130 15
2105.CP417,TRUE,2105,urban biome,park,soil,-73.96857,40.78154,CP417 soil sample from Central Park
1024.SH004.C1.RH.1.205.gp.9.11.Gilbert.Merlot.miseq.S0.L001.001,TRUE,1024,cropland biome,vineyard,grapes,-72.5284,41.015,Grapes
990.KA2U.E.16,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841126,Block_2_Unfertilized_station_E_position_16 KA2U.E.16
990.KA1F.A.23,TRUE,990,urban biome,field soil,Soil,-88.230357,41.841521,Block_1_Fertilized_station_A_position_23 KA1F.A.23
10143.004.5.11.2013.Soil.Groin.SiteE,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.5.11.2013.Soil.Groin.SiteE
10278.T1.B6.5,FALSE,10278,temperate grassland biome,sphagnum bog,peat,-4.079565,53.141159,peat.timepoint1.bog.5cm.droughted
14937.S00IE0079,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 905/906 15
14937.S00IE0109,FALSE,14937,urban biome,farmland soil,soil,-90.68664,38.8477,soil sample D5 1069/1070 30
11116.L07A064.1195677,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I01A097
10143.004.4.25.2013.Soil.RArmpit.SiteG,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,004.4.25.2013.Soil.RArmpit.SiteG
14989.soil.hip.SHSU.2016.007.2016.05.02.day18,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.hip.SHSU.2016.007.2016.05.02.day18
1792.C09A61,TRUE,1792,cropland biome,plant-associated habitat,soil,-92.33407,38.95171,C09A61 from site B73
14989.soil.hip.SHSU.2016.067.2016.09.28.day13,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2016.067.2016.09.28.day13
1618.AL.Exp.P12D14,FALSE,1618,urban biome,animal-associated habitat,salamander skin,-79.1844,38.5098,Salamanders in Soil
11116.L21A083.1194134,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L11A092
928.204,FALSE,928,grassland biome,grassland soil,soil,-85.4,42.4,soil sample 204
11116.L13A120.1194184,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A18B091
11116.L31A070.1193746,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I09A076
2223.338R.BC0011,FALSE,2223,temperate coniferous forest biome,forest soil,soil,105.391,40.039,01_2011_burned_10
13064.PRV21SO,FALSE,13064,temperate woodland biome,rhizosphere,soil,138.699303,34.718351,soil
1711.KFM1.1,TRUE,1711,tropical moist broadleaf forest biome,national park,soil,35.52,0.15,"Kenya Forest Soil Sample, Forest 1 Plot 1"
2105.CP621,TRUE,2105,urban biome,park,soil,-73.95258,40.79752,CP621 soil sample from Central Park
14989.soil.face.SHSU.2016.076.2016.12.10.day19,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.face.SHSU.2016.076.2016.12.10.day19
2105.CP670,TRUE,2105,urban biome,park,soil,-73.95229,40.79612,CP670 soil sample from Central Park
2104.CP489,FALSE,2104,urban biome,park,soil,-73.95522,40.79141,soil
1642.3BLANK,TRUE,1642,aquatic biome,water,control blank,-105.27,40.015,control sample 3BLANK
2105.CP280.r,TRUE,2105,urban biome,park,soil,-73.97021,40.77899,CP280 soil sample from Central Park
11116.I04A084.1197398,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L17A086
714.Soil.U.cntr.T7.2,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,untreated_soil.soil.7
10143.016.5.3.2013.Soil.LHip.SiteC,TRUE,10143,urban biome,research facility,soil,-95.55,30.71308,016.5.3.2013.Soil.LHip.SiteC
11116.A18A094.1198340,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample I32A066
14989.soil.face.CMU.16.15.2016.12.day2,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.16.15.2016.12.day2
11116.A12C088.1195236,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample A12C088
11116.U469A62.1195163,FALSE,11116,cropland biome,plant-associated habitat,soil,-88.207,40.111,sample L07A072
11116.L05A085.1196593,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L27A095
11116.L25A094.1194433,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L25A065
1721.S29T,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample S29T
12201.soil.rhizosphere.H.2.homebrew.H,TRUE,12201,urban biome,plant-associated habitat,soil,-117.25,32.5,A horizon soil collected from benath a pine tree directly adjacent to its roots
14989.soil.hip.SHSU.2016.072.2016.11.18.day15,FALSE,14989,urban biome,research facility,soil,95.476,30.745,11489.soil.hip.SHSU.2016.072.2016.11.18.day15
632.Agricultural.soil.wheat,FALSE,632,cropland biome,agricultural feature,soil,-80.41,43.64,"Agricultural soil - wheat, Ontario"
10431.4N18,TRUE,10431,cropland biome,farm,soil,-119.506186,36.592215,sandy loam soil  from an organic agriculture field
10141.G.soil.T1.1.ReDay30,TRUE,10141,temperate grassland biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
353.Female.D3.4.Axilla.Rep2,FALSE,353,urban biome,human-associated habitat,axilla,-105.27,40.01,Female day 3 4C Axilla Rep2
992.MU.19,FALSE,992,grasslandl biome,soil,soil,31.43333,-23.11667,"south african soils, soil metagenome"
11116.L08A075.1193955,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample I07A071
1721.B15T,TRUE,1721,cropland biome,cultivated habitat,Soil,153.417,-28.833,barley soil sample B15T
1642.MS00412,TRUE,1642,cropland biome,rice field,rhizosphere,138.937,35.117,rhizosphere kasalath MS00412
11116.L21A102.1198182,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample L20A061
1520.409,FALSE,1520,ENVO:terrestrial biome,ENV:soil,Soil,-85.4,42.4,Ramirez_KBS_LTER_plot_409_291_kg_N
10561.PE6.s.6.1.sequences,FALSE,10561,tropical moist broadleaf forest biome,tropical soil,soil,-71.23333333,-12.65,soil PE6
14989.soil.hip.CMU.17.10.2017.08.23.day15,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.hip.CMU.17.10.2017.08.23.day15
14937.S00IE0400,FALSE,14937,urban biome,farmland soil,soil,-90.68742,38.8494,soil sample A3 237/238 60
2105.CP234,TRUE,2105,urban biome,park,soil,-73.96414,40.77795,CP234 soil sample from Central Park
15230.SorghumSgC22,FALSE,15230,cropland biome,farm,rhizosphere,-27.39629,-27.0454,soil sample SgC22
1883.2010.297.Crump.Artic.LTREB.main.lane3.NoIndex,TRUE,1883,tundra biome,tundra,underground water,-149.611542,68.59133,soil water
14989.soil.face.CMU.17.12.2017.10.11.day2,FALSE,14989,urban biome,research facility,soil,-108.55,39.08,11489.soil.face.CMU.17.12.2017.10.11.day2
990.KA3U.A.08,TRUE,990,urban biome,field soil,Soil,-88.230357,41.840733,Block_3_Unfertilized_station_A_position_8 KA3U.A.08
2104.CP444.r,FALSE,2104,urban biome,park,soil,-73.9675,40.78342,soil
11116.I04A100.1193982,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample L17A104
1609.extended.control.2,FALSE,1609,"Temperate grasslands, savannas, and shrubland biome",farm soil,soil,-96.682,40.81,extended.control.2
11116.A07B064.1197178,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.702,42.754,sample C30A64
11176.1x.091515.148.1,TRUE,11176,cropland biome,plant-associated habitat,rhizome,-96.48,41.22,rhizome 1x.091515.148.1
1043.Tabonuco.20C.BC.TP1.02,FALSE,1043,tropical moist broadleaf forest biome,tropical soil,Soil,-66.93,18.13,Tropical forest soil
11116.C33A63.1196218,FALSE,11116,cropland biome,plant-associated habitat,soil,-82.999,39.961,sample A11A070
10431.1N30,TRUE,10431,cropland biome,farm,soil,-119.506186,36.592215,sandy loam soil  from an organic agriculture field
1520.FL.3.37a.1,FALSE,1520,ENVO:tropical and subtropical coniferous forest biome,ENVO:soil,Soil,-155.289,19.93042,"FL_Soil_plate3_f5_NEON, Florida"
1024.MU002.C3.HA.2.282.rhizo.9.11.G1.L00,TRUE,1024,cropland biome,vineyard,rhizosphere,-72.4503,41.06274,Rhizosphere
11116.L22A063.1197474,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A21C085
714.soil1.0.1g.T0S2,FALSE,714,ENVO:terrestrial biome,ENVO:soil,soil,-105.27,40.01,sterile_soil.soil.0
10360.BAQ2838.3,TRUE,10360,desert biome,slope,soil,-68.57623,-22.65381,sample from Banquedana transect
11116.L16A081.1195521,FALSE,11116,cropland biome,plant-associated habitat,soil,-84.555,42.733,sample A09D061
13064.PB21SO,FALSE,13064,temperate grassland biome,rhizosphere,soil,138.678149,34.688921,soil
10141.F.CTRL.soil.T1.1,TRUE,10141,Temperate coniferous forest biome,agricultural soil,soil,-105.27,40.015,Mouse Decomposition experiment on contrasting soil types
2382.DPOO1.C1.HA.3.639.leav.9.12.lane8.NoIndex.L008.sequences,TRUE,2382,cropland biome,vineyard,leaves,-72.46158,41.02525,Leaves
755.LSSF.BETA.D30.02.06.11.lane1.NoIndex.L001,TRUE,755,urban biome,biofilter,filtration sand,-4.284,55.873,samples of sand from labscale_slow_sand filter with sterile sand: water purification system
2382.SH007.C6.RH.5.721.bulk.9.12.lane7.NoIndex.L007.sequences,TRUE,2382,cropland biome,vineyard,soil,-72.52847,41.0149,Bulk_soil
1024.RU006.C181.RH.1.379.leav.9.11.Gilbert.Merlot.miseq.S0.L001.001,TRUE,1024,cropland biome,vineyard,leaves,-72.49418,41.00934,Leaves
14989.soil.face.SHSU.2016.024.2016.04.29.day15,FALSE,14989,dense settlement biome,research facility,soil,-95.476,30.745,11271.soil.face.SHSU.2016.024.2016.04.29.day15
2104.CP39.r,FALSE,2104,urban biome,park,soil,-73.97725,40.76915,soil
11116.I26A084.1195740,FALSE,11116,cropland biome,plant-associated habitat,soil,-76.502,42.444,sample C14A64
